x,y,z,vx,vy,vz,zv
-0.00169682155423635,0.000708972435849705,0.0159332752754963,-0.00258709090317071,0.00089863589163015,-0.0119406259485664,1
-0.00171986550164203,0.000716536171101259,0.0160475633622512,-0.00246199280105208,0.000825028938544149,-0.0119125640437644,1
-0.00174372242867574,0.000728378683237696,0.0161648557999376,-0.00247480416164304,0.00109262487747731,-0.0121086624290097,1
-0.00176666287546379,0.000740162806545526,0.0162822068156026,-0.00241646182421655,0.00118017749463705,-0.0121798021682274,1
-0.00178949208035995,0.00075124391980615,0.0163976480403543,-0.0023888821410245,0.00116202392045517,-0.0120733973209645,1
-0.00181389766373063,0.000764609077323996,0.0165162250059228,-0.00248729528289064,0.00131209350260684,-0.0122516762004044,1
-0.00183744414093445,0.000775597591894948,0.0166347469026562,-0.00246216705019901,0.00120080560748441,-0.0123089295981089,1
-0.00186378439968233,0.000789608029297064,0.0167506283197245,-0.00264473176405551,0.00136950585992517,-0.0121477675249945,1
-0.00189054831763263,0.000804762836640539,0.0168666900682112,-0.00273617136054573,0.00150552175513145,-0.0121049571930039,1
-0.00191427830935111,0.00081713085428637,0.0169824251940594,-0.00255984730525106,0.00136136348390535,-0.0120679188208935,1
-0.00194307855423907,0.000827782591191182,0.0170999940163383,-0.0028464386008953,0.00119459876093052,-0.0121808019217585,1
-0.00197026106278907,0.000833636649287746,0.0172187856117939,-0.00283377751844475,0.000809258784057867,-0.0123031498295594,1
-0.00199918044584427,0.000838894125250668,0.0173366762834594,-0.00294827842533448,0.000636602206987206,-0.0122833564576088,1
-0.00202717858981732,0.000847212912819669,0.0174527825642093,-0.00292440912369472,0.000786999016318132,-0.0121544122835703,1
-0.00205834688838296,0.000855968699744805,0.017567182030978,-0.00313315128730298,0.000868352595320234,-0.0119934338640077,1
-0.0020926337945587,0.000872548872373587,0.0176802897014961,-0.00341794535942224,0.00143155718257539,-0.0118499313088878,1
-0.00212340121283512,0.000886473619542257,0.0177976857431839,-0.00327453586012217,0.00144253436775334,-0.0120943990525578,1
-0.00214761405386856,0.000892504079382282,0.0179149222583082,-0.00277697287103675,0.000906132515891302,-0.0121670995096723,1
-0.00217246954832046,0.000898336130976495,0.0180305028902056,-0.00265071372431534,0.000709044125969222,-0.0120785998911182,1
-0.00219911790647172,0.000906508249341378,0.0181435457043168,-0.00273018777811773,0.000801730148562622,-0.0118745590609568,1
-0.00222876170719545,0.000913085640769577,0.0182603235233198,-0.00296231163890416,0.000724319063711606,-0.0120604483594714,1
-0.00225739196351193,0.000925116552986675,0.0183763941282004,-0.00297236124614257,0.00107097227090877,-0.0120756750002295,1
-0.00228348221700695,0.000937751884774826,0.0184922626846447,-0.00280199609973512,0.00123091562356118,-0.0120670451266456,1
